model,displ,cyl,trans,drive,fuel,cert_region,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
BMW 128Ci Convertible,3.0,6.0,Man-6,2WD,Gasoline,FA,small car,6,18,28,22,6,no
BMW 128Ci Convertible,3.0,6.0,Man-6,2WD,Gasoline,FA,small car,6,18,28,22,6,no
BMW 128i,3.0,6.0,Man-6,2WD,Gasoline,CA,small car,9,18,28,22,6,yes
BMW 128i,3.0,6.0,SemiAuto-6,2WD,Gasoline,CA,small car,9,18,28,22,6,yes
BMW 128i,3.0,6.0,Man-6,2WD,Gasoline,CA,small car,7,18,28,22,6,yes
BMW 128i,3.0,6.0,SemiAuto-6,2WD,Gasoline,CA,small car,7,18,28,22,6,yes
BMW 128i,3.0,6.0,Man-6,2WD,Gasoline,FA,small car,6,18,28,22,6,no
BMW 128i,3.0,6.0,Man-6,2WD,Gasoline,FA,small car,6,18,28,22,6,no
BMW 128i,3.0,6.0,SemiAuto-6,2WD,Gasoline,FA,small car,6,18,28,22,6,no
BMW 128i,3.0,6.0,SemiAuto-6,2WD,Gasoline,FA,small car,6,18,28,22,6,no
BMW 135i,3.0,6.0,Man-6,2WD,Gasoline,FA,small car,6,18,25,20,5,no
BMW 135i,3.0,6.0,SemiAuto-6,2WD,Gasoline,FA,small car,6,18,25,20,5,no
BMW 135i,3.0,6.0,Man-6,2WD,Gasoline,CA,small car,6,18,25,20,5,no
BMW 135i,3.0,6.0,SemiAuto-6,2WD,Gasoline,CA,small car,6,18,25,20,5,no
BMW 135i Convertible,3.0,6.0,Man-6,2WD,Gasoline,FA,small car,6,17,26,20,5,no
BMW 135i Convertible,3.0,6.0,SemiAuto-6,2WD,Gasoline,FA,small car,6,17,26,20,5,no
BMW 135i Convertible,3.0,6.0,Man-6,2WD,Gasoline,CA,small car,6,17,26,20,5,no
BMW 135i Convertible,3.0,6.0,SemiAuto-6,2WD,Gasoline,CA,small car,6,17,26,20,5,no
BMW 328Ci,3.0,6.0,Man-6,4WD,Gasoline,CA,small car,9,17,25,20,5,no
BMW 328Ci,3.0,6.0,SemiAuto-6,4WD,Gasoline,CA,small car,9,17,25,20,5,no
BMW 328Ci,3.0,6.0,Man-6,2WD,Gasoline,CA,small car,9,18,28,22,6,yes
BMW 328Ci,3.0,6.0,SemiAuto-6,2WD,Gasoline,CA,small car,9,18,28,22,6,yes
BMW 328Ci,3.0,6.0,Man-6,4WD,Gasoline,CA,small car,7,17,25,20,5,no
BMW 328Ci,3.0,6.0,SemiAuto-6,4WD,Gasoline,CA,small car,7,17,25,20,5,no
BMW 328Ci,3.0,6.0,Man-6,2WD,Gasoline,CA,small car,7,18,28,22,6,yes
BMW 328Ci,3.0,6.0,SemiAuto-6,2WD,Gasoline,CA,small car,7,18,28,22,6,yes
BMW 328Ci,3.0,6.0,Man-6,4WD,Gasoline,FA,small car,6,17,25,20,5,no
BMW 328Ci,3.0,6.0,Man-6,4WD,Gasoline,FA,small car,6,17,25,20,5,no
BMW 328Ci,3.0,6.0,SemiAuto-6,4WD,Gasoline,FA,small car,6,17,25,20,5,no
BMW 328Ci,3.0,6.0,SemiAuto-6,4WD,Gasoline,FA,small car,6,17,25,20,5,no
BMW 328Ci,3.0,6.0,Man-6,2WD,Gasoline,FA,small car,6,18,28,22,6,no
BMW 328Ci,3.0,6.0,Man-6,2WD,Gasoline,FA,small car,6,18,28,22,6,no
BMW 328Ci,3.0,6.0,SemiAuto-6,2WD,Gasoline,FA,small car,6,18,28,22,6,no
BMW 328Ci,3.0,6.0,SemiAuto-6,2WD,Gasoline,FA,small car,6,18,28,22,6,no
BMW 328Ci Convertible,3.0,6.0,Man-6,2WD,Gasoline,CA,small car,9,17,26,20,5,no
BMW 328Ci Convertible,3.0,6.0,SemiAuto-6,2WD,Gasoline,CA,small car,9,18,27,21,5,no
BMW 328Ci Convertible,3.0,6.0,Man-6,2WD,Gasoline,CA,small car,7,17,26,20,5,no
BMW 328Ci Convertible,3.0,6.0,SemiAuto-6,2WD,Gasoline,CA,small car,7,18,27,21,5,no
BMW 328Ci Convertible,3.0,6.0,Man-6,2WD,Gasoline,FA,small car,6,17,26,20,5,no
BMW 328Ci Convertible,3.0,6.0,Man-6,2WD,Gasoline,FA,small car,6,17,26,20,5,no
BMW 328Ci Convertible,3.0,6.0,SemiAuto-6,2WD,Gasoline,FA,small car,6,18,27,21,5,no
BMW 328Ci Convertible,3.0,6.0,SemiAuto-6,2WD,Gasoline,FA,small car,6,18,27,21,5,no
BMW 328i,3.0,6.0,Man-6,4WD,Gasoline,CA,small car,9,17,25,20,5,no
BMW 328i,3.0,6.0,SemiAuto-6,4WD,Gasoline,CA,small car,9,17,25,20,5,no
BMW 328i,3.0,6.0,Man-6,2WD,Gasoline,CA,small car,9,18,28,22,6,yes
BMW 328i,3.0,6.0,SemiAuto-6,2WD,Gasoline,CA,small car,9,18,28,22,6,yes
BMW 328i,3.0,6.0,Man-6,4WD,Gasoline,CA,small car,7,17,25,20,5,no
BMW 328i,3.0,6.0,SemiAuto-6,4WD,Gasoline,CA,small car,7,17,25,20,5,no
BMW 328i,3.0,6.0,Man-6,2WD,Gasoline,CA,small car,7,18,28,22,6,yes
BMW 328i,3.0,6.0,SemiAuto-6,2WD,Gasoline,CA,small car,7,18,28,22,6,yes
BMW 328i,3.0,6.0,Man-6,4WD,Gasoline,FA,small car,6,17,25,20,5,no
BMW 328i,3.0,6.0,Man-6,4WD,Gasoline,FA,small car,6,17,25,20,5,no
BMW 328i,3.0,6.0,SemiAuto-6,4WD,Gasoline,FA,small car,6,17,25,20,5,no
BMW 328i,3.0,6.0,SemiAuto-6,4WD,Gasoline,FA,small car,6,17,25,20,5,no
BMW 328i,3.0,6.0,Man-6,2WD,Gasoline,FA,small car,6,18,28,22,6,no
BMW 328i,3.0,6.0,Man-6,2WD,Gasoline,FA,small car,6,18,28,22,6,no
BMW 328i,3.0,6.0,SemiAuto-6,2WD,Gasoline,FA,small car,6,18,28,22,6,no
BMW 328i,3.0,6.0,SemiAuto-6,2WD,Gasoline,FA,small car,6,18,28,22,6,no
BMW 328i Sport Wagon,3.0,6.0,Man-6,4WD,Gasoline,CA,station wagon,7,17,25,20,5,no
BMW 328i Sport Wagon,3.0,6.0,SemiAuto-6,4WD,Gasoline,CA,station wagon,7,17,25,20,5,no
BMW 328i Sport Wagon,3.0,6.0,Man-6,2WD,Gasoline,CA,station wagon,7,17,26,20,5,no
BMW 328i Sport Wagon,3.0,6.0,SemiAuto-6,2WD,Gasoline,CA,station wagon,7,18,27,21,5,no
BMW 328i Sport Wagon,3.0,6.0,Man-6,4WD,Gasoline,FA,station wagon,6,17,25,20,5,no
BMW 328i Sport Wagon,3.0,6.0,SemiAuto-6,4WD,Gasoline,FA,station wagon,6,17,25,20,5,no
BMW 328i Sport Wagon,3.0,6.0,Man-6,2WD,Gasoline,FA,station wagon,6,17,26,20,5,no
BMW 328i Sport Wagon,3.0,6.0,SemiAuto-6,2WD,Gasoline,FA,station wagon,6,18,27,21,5,no
BMW 335Ci,3.0,6.0,Man-6,4WD,Gasoline,CA,small car,7,16,25,19,4,no
BMW 335Ci,3.0,6.0,SemiAuto-6,4WD,Gasoline,CA,small car,7,17,25,20,5,no
