model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway,displ_level,cyl_level,air_pollution_score_level,city_mpg_level,hwy_mpg_level,cmb_mpg_level,greenhouse_gas_score_level
HYUNDAI Tuscon,2.0,4.0,SemiAuto-6,4WD,Gasoline,small SUV,5,22,25,23,5,No,medium,medium,mod_high,mod_high,medium,mod_high,mod_high
HYUNDAI Tuscon,2.4,4.0,SemiAuto-6,2WD,Gasoline,small SUV,7,22,28,25,5,No,medium,medium,high,mod_high,mod_high,mod_high,mod_high
HYUNDAI Tuscon,2.4,4.0,SemiAuto-6,4WD,Gasoline,small SUV,5,21,26,23,5,No,medium,medium,mod_high,mod_high,medium,mod_high,mod_high
HYUNDAI Veloster,1.6,4.0,AutoMan-7,2WD,Gasoline,small car,5,28,34,30,7,Yes,low,medium,mod_high,high,high,high,high
HYUNDAI Veloster,1.6,4.0,Man-6,2WD,Gasoline,small car,5,26,33,29,6,No,low,medium,mod_high,high,high,high,mod_high
HYUNDAI Veloster,2.0,4.0,Man-6,2WD,Gasoline,small car,5,25,33,28,6,No,medium,medium,mod_high,high,high,high,mod_high
HYUNDAI Veloster,2.0,4.0,SemiAuto-6,2WD,Gasoline,small car,5,27,34,30,7,Yes,medium,medium,mod_high,high,high,high,high
HYUNDAI Veloster N,2.0,4.0,Man-6,2WD,Gasoline,small car,3,22,29,25,5,No,medium,medium,medium,mod_high,mod_high,mod_high,mod_high
HYUNDAI Venue,1.6,4.0,CVT,2WD,Gasoline,midsize car,5,30,34,32,7,Yes,low,medium,mod_high,high,high,high,high
HYUNDAI Venue,1.6,4.0,Man-6,2WD,Gasoline,midsize car,5,27,35,30,7,Yes,low,medium,mod_high,high,high,high,high
INFINITI Q50,3.0,6.0,SemiAuto-7,2WD,Gasoline,midsize car,3,20,29,23,5,No,mod_high,mod_high,medium,mod_high,mod_high,mod_high,mod_high
INFINITI Q50,3.0,6.0,SemiAuto-7,4WD,Gasoline,midsize car,3,19,27,22,4,No,mod_high,mod_high,medium,medium,mod_high,medium,medium
INFINITI Q50 Red Sport,3.0,6.0,SemiAuto-7,2WD,Gasoline,midsize car,3,20,26,22,4,No,mod_high,mod_high,medium,mod_high,medium,medium,medium
INFINITI Q50 Red Sport,3.0,6.0,SemiAuto-7,4WD,Gasoline,midsize car,3,19,26,22,4,No,mod_high,mod_high,medium,medium,medium,medium,medium
INFINITI Q60,3.0,6.0,SemiAuto-7,2WD,Gasoline,small car,3,19,28,22,4,No,mod_high,mod_high,medium,medium,mod_high,medium,medium
INFINITI Q60,3.0,6.0,SemiAuto-7,4WD,Gasoline,small car,3,19,27,22,4,No,mod_high,mod_high,medium,medium,mod_high,medium,medium
INFINITI Q60 Red Sport,3.0,6.0,SemiAuto-7,2WD,Gasoline,small car,3,20,27,22,4,No,mod_high,mod_high,medium,mod_high,mod_high,medium,medium
INFINITI Q60 Red Sport,3.0,6.0,SemiAuto-7,4WD,Gasoline,small car,3,19,26,21,4,No,mod_high,mod_high,medium,medium,medium,medium,medium
INFINITI QX50,2.0,4.0,SCV-8,2WD,Gasoline,small SUV,5,23,29,26,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
INFINITI QX50,2.0,4.0,SCV-8,4WD,Gasoline,small SUV,5,22,28,25,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
INFINITI QX60,3.5,6.0,SCV-7,2WD,Gasoline,small SUV,5,20,27,22,4,No,mod_high,mod_high,mod_high,mod_high,mod_high,medium,medium
INFINITI QX60,3.5,6.0,SCV-7,4WD,Gasoline,small SUV,5,19,26,22,4,No,mod_high,mod_high,mod_high,medium,medium,medium,medium
INFINITI QX80,5.6,8.0,SemiAuto-7,2WD,Gasoline,standard SUV,3,14,20,16,2,No,high,high,medium,low,low,low,low
INFINITI QX80,5.6,8.0,SemiAuto-7,4WD,Gasoline,standard SUV,3,13,19,15,2,No,high,high,medium,low,low,low,low
JAGUAR E-Pace,2.0,4.0,SemiAuto-9,4WD,Gasoline,small SUV,7,21,28,24,5,No,medium,medium,high,mod_high,mod_high,mod_high,mod_high
JAGUAR E-Pace P300,2.0,4.0,SemiAuto-9,4WD,Gasoline,small SUV,7,21,27,23,5,No,medium,medium,high,mod_high,mod_high,mod_high,mod_high
JAGUAR F-Pace,2.0,4.0,SemiAuto-8,4WD,Gasoline,small SUV,7,22,27,24,5,No,medium,medium,high,mod_high,mod_high,mod_high,mod_high
JAGUAR F-Pace,3.0,6.0,SemiAuto-8,4WD,Gasoline,small SUV,7,18,23,20,4,No,mod_high,mod_high,high,medium,medium,medium,medium
JAGUAR F-Pace,5.0,8.0,SemiAuto-8,4WD,Gasoline,small SUV,3,16,21,18,3,No,high,high,medium,low,low,low,medium
JAGUAR F-Pace 30t,2.0,4.0,SemiAuto-8,4WD,Gasoline,small SUV,7,22,27,24,5,No,medium,medium,high,mod_high,mod_high,mod_high,mod_high
JAGUAR F-Type Convertible,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,7,23,30,26,5,No,medium,medium,high,mod_high,mod_high,mod_high,mod_high
JAGUAR F-Type Convertible,3.0,6.0,SemiAuto-8,2WD,Gasoline,small car,7,20,28,23,5,No,mod_high,mod_high,high,mod_high,mod_high,mod_high,mod_high
JAGUAR F-Type Convertible,5.0,8.0,SemiAuto-8,4WD,Gasoline,small car,3,16,24,18,3,No,high,high,medium,low,medium,low,medium
JAGUAR F-Type Coupe,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,7,23,30,26,5,No,medium,medium,high,mod_high,mod_high,mod_high,mod_high
JAGUAR F-Type Coupe,3.0,6.0,SemiAuto-8,2WD,Gasoline,small car,7,20,28,23,5,No,mod_high,mod_high,high,mod_high,mod_high,mod_high,mod_high
JAGUAR F-Type Coupe,5.0,8.0,SemiAuto-8,4WD,Gasoline,small car,3,16,24,18,3,No,high,high,medium,low,medium,low,medium
JAGUAR F-Type S Convertible,3.0,6.0,SemiAuto-8,2WD,Gasoline,small car,7,19,27,22,4,No,mod_high,mod_high,high,medium,mod_high,medium,medium
JAGUAR F-Type S Convertible,3.0,6.0,SemiAuto-8,4WD,Gasoline,small car,7,18,26,21,4,No,mod_high,mod_high,high,medium,medium,medium,medium
JAGUAR F-Type S Coupe,3.0,6.0,SemiAuto-8,2WD,Gasoline,small car,7,19,27,22,4,No,mod_high,mod_high,high,medium,mod_high,medium,medium
JAGUAR F-Type S Coupe,3.0,6.0,SemiAuto-8,4WD,Gasoline,small car,7,18,26,21,4,No,mod_high,mod_high,high,medium,medium,medium,medium
JAGUAR F-Type SVR Convertible,5.0,8.0,SemiAuto-8,4WD,Gasoline,small car,3,16,24,18,3,No,high,high,medium,low,medium,low,medium
JAGUAR F-Type SVR Coupe,5.0,8.0,SemiAuto-8,4WD,Gasoline,small car,3,16,24,18,3,No,high,high,medium,low,medium,low,medium
JAGUAR XE,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,7,25,34,28,6,No,medium,medium,high,high,high,high,mod_high
JAGUAR XE,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,7,24,34,28,6,No,medium,medium,high,mod_high,high,high,mod_high
JAGUAR XE 30t,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,7,24,32,27,6,No,medium,medium,high,mod_high,mod_high,mod_high,mod_high
JAGUAR XE 30t,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,7,22,30,25,5,No,medium,medium,high,mod_high,mod_high,mod_high,mod_high
JAGUAR XF,2.0,4.0,SemiAuto-8,2WD,Gasoline,midsize car,7,25,34,28,6,No,medium,medium,high,high,high,high,mod_high
JAGUAR XF,2.0,4.0,SemiAuto-8,4WD,Gasoline,midsize car,7,23,33,27,6,No,medium,medium,high,mod_high,high,mod_high,mod_high
JAGUAR XF,3.0,6.0,SemiAuto-8,4WD,Gasoline,midsize car,7,20,28,23,5,No,mod_high,mod_high,high,mod_high,mod_high,mod_high,mod_high
JAGUAR XF 30t,2.0,4.0,SemiAuto-8,2WD,Gasoline,midsize car,7,23,31,26,5,No,medium,medium,high,mod_high,mod_high,mod_high,mod_high
JAGUAR XF 30t,2.0,4.0,SemiAuto-8,4WD,Gasoline,midsize car,7,22,31,25,5,No,medium,medium,high,mod_high,mod_high,mod_high,mod_high
JAGUAR XF Sportbrake,2.0,4.0,SemiAuto-8,4WD,Gasoline,station wagon,7,21,28,24,5,No,medium,medium,high,mod_high,mod_high,mod_high,mod_high
JAGUAR XF Sportbrake,3.0,6.0,SemiAuto-8,4WD,Gasoline,station wagon,7,18,25,21,4,No,mod_high,mod_high,high,medium,medium,medium,medium
JEEP Cherokee,2.0,4.0,Auto-9,2WD,Gasoline,small SUV,5,23,31,26,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
JEEP Cherokee,2.0,4.0,Auto-9,4WD,Gasoline,small SUV,5,21,29,24,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
JEEP Cherokee,2.4,4.0,Auto-9,2WD,Gasoline,small SUV,6,22,31,25,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
JEEP Cherokee,2.4,4.0,Auto-9,4WD,Gasoline,small SUV,6,21,29,24,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
JEEP Cherokee,3.2,6.0,Auto-9,2WD,Gasoline,small SUV,5,20,29,23,5,No,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high
JEEP Cherokee,3.2,6.0,Auto-9,4WD,Gasoline,small SUV,5,19,27,22,4,No,mod_high,mod_high,mod_high,medium,mod_high,medium,medium
JEEP Cherokee 4x4 Active Drive II,2.0,4.0,Auto-9,4WD,Gasoline,small SUV,5,20,27,23,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
JEEP Cherokee 4x4 Active Drive II,3.2,6.0,Auto-9,4WD,Gasoline,small SUV,5,18,26,21,4,No,mod_high,mod_high,mod_high,medium,medium,medium,medium
JEEP Cherokee Trailhawk,2.0,4.0,Auto-9,4WD,Gasoline,small SUV,5,20,26,22,4,No,medium,medium,mod_high,mod_high,medium,medium,medium
JEEP Cherokee Trailhawk,3.2,6.0,Auto-9,4WD,Gasoline,small SUV,5,18,24,21,4,No,mod_high,mod_high,mod_high,medium,medium,medium,medium
JEEP Compass,2.4,4.0,Auto-6,2WD,Gasoline,small SUV,6,22,31,25,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
JEEP Compass,2.4,4.0,Auto-9,4WD,Gasoline,small SUV,6,22,30,25,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
JEEP Compass,2.4,4.0,Man-6,2WD,Gasoline,small SUV,3,23,32,26,5,No,medium,medium,medium,mod_high,mod_high,mod_high,mod_high
JEEP Compass,2.4,4.0,Man-6,4WD,Gasoline,small SUV,3,22,31,25,5,No,medium,medium,medium,mod_high,mod_high,mod_high,mod_high
JEEP Gladiator,3.6,6.0,Auto-8,4WD,Gasoline,pickup,5,17,22,19,3,No,mod_high,mod_high,mod_high,medium,low,medium,medium
JEEP Gladiator,3.6,6.0,Man-6,4WD,Gasoline,pickup,5,16,23,19,3,No,mod_high,mod_high,mod_high,low,medium,medium,medium
JEEP Grand Cherokee,3.6,6.0,Auto-8,2WD,Gasoline,standard SUV,7,19,26,21,4,No,mod_high,mod_high,high,medium,medium,medium,medium
JEEP Grand Cherokee,3.6,6.0,Auto-8,4WD,Gasoline,standard SUV,7,18,25,21,4,No,mod_high,mod_high,high,medium,medium,medium,medium
JEEP Grand Cherokee,5.7,8.0,Auto-8,4WD,Gasoline,standard SUV,3,14,22,17,3,No,high,high,medium,low,low,low,medium
JEEP Grand Cherokee SRT,6.4,8.0,Auto-8,4WD,Gasoline,standard SUV,1,13,19,15,2,No,high,high,low,low,low,low,low
JEEP Grand Cherokee Trackhawk,6.2,8.0,Auto-8,4WD,Gasoline,standard SUV,1,11,17,13,1,No,high,high,low,low,low,low,low
JEEP Renegade,1.3,4.0,Auto-9,2WD,Gasoline,small SUV,6,24,32,27,6,No,low,medium,mod_high,mod_high,mod_high,mod_high,mod_high
JEEP Renegade,1.3,4.0,Auto-9,4WD,Gasoline,small SUV,6,23,29,26,5,No,low,medium,mod_high,mod_high,mod_high,mod_high,mod_high
JEEP Renegade,2.4,4.0,Auto-9,2WD,Gasoline,small SUV,6,22,30,25,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
JEEP Renegade,2.4,4.0,Auto-9,4WD,Gasoline,small SUV,6,21,29,24,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
JEEP Renegade Trailhawk,1.3,4.0,Auto-9,4WD,Gasoline,small SUV,6,22,27,24,5,No,low,medium,mod_high,mod_high,mod_high,mod_high,mod_high
JEEP Wrangler,2.0,4.0,Auto-8,4WD,Gasoline,small SUV,5,21,22,21,4,No,medium,medium,mod_high,mod_high,low,medium,medium
JEEP Wrangler,2.0,4.0,Auto-8,4WD,Gasoline,small SUV,5,22,24,23,5,No,medium,medium,mod_high,mod_high,medium,mod_high,mod_high
JEEP Wrangler,3.6,6.0,Auto-8,4WD,Gasoline,small SUV,5,18,23,20,4,No,mod_high,mod_high,mod_high,medium,medium,medium,medium
JEEP Wrangler,3.6,6.0,Man-6,4WD,Gasoline,small SUV,5,17,25,20,4,No,mod_high,mod_high,mod_high,medium,medium,medium,medium
JEEP Wrangler Unlimited,2.0,4.0,Auto-8,4WD,Gasoline,small SUV,5,21,22,21,4,No,medium,medium,mod_high,mod_high,low,medium,medium
JEEP Wrangler Unlimited,3.0,6.0,Auto-8,4WD,Diesel,small SUV,1,22,29,25,4,No,mod_high,mod_high,low,mod_high,mod_high,mod_high,medium
JEEP Wrangler Unlimited,3.6,6.0,Auto-8,4WD,Gasoline,small SUV,5,18,22,20,4,No,mod_high,mod_high,mod_high,medium,low,medium,medium
JEEP Wrangler Unlimited,3.6,6.0,Auto-8,4WD,Gasoline,small SUV,5,19,22,20,4,No,mod_high,mod_high,mod_high,medium,low,medium,medium
JEEP Wrangler Unlimited,3.6,6.0,Man-6,4WD,Gasoline,small SUV,5,17,23,19,3,No,mod_high,mod_high,mod_high,medium,medium,medium,medium
KIA Cadenza,3.3,6.0,SemiAuto-8,2WD,Gasoline,large car,3,20,28,23,5,No,mod_high,mod_high,medium,mod_high,mod_high,mod_high,mod_high
KIA Forte,1.6,4.0,AutoMan-7,2WD,Gasoline,midsize car,5,27,35,30,7,Yes,low,medium,mod_high,high,high,high,high
KIA Forte,1.6,4.0,Man-6,2WD,Gasoline,midsize car,5,25,32,28,6,No,low,medium,mod_high,high,mod_high,high,mod_high
KIA Forte,2.0,4.0,CVT,2WD,Gasoline,midsize car,7,29,40,33,7,Yes,medium,medium,high,high,high,high,high
KIA Forte,2.0,4.0,CVT,2WD,Gasoline,midsize car,5,29,40,33,7,Yes,medium,medium,mod_high,high,high,high,high
KIA Forte,2.0,4.0,Man-6,2WD,Gasoline,midsize car,5,27,37,31,7,Yes,medium,medium,mod_high,high,high,high,high
KIA Forte FE,2.0,4.0,CVT,2WD,Gasoline,midsize car,5,31,41,35,8,Yes,medium,medium,mod_high,high,high,high,high
KIA K900,3.3,6.0,SemiAuto-8,4WD,Gasoline,large car,3,18,25,21,4,No,mod_high,mod_high,medium,medium,medium,medium,medium
KIA Niro,1.6,4.0,AutoMan-6,2WD,Gasoline,station wagon,7,51,46,49,10,Elite,low,medium,high,high,high,high,high
KIA Niro FE,1.6,4.0,AutoMan-6,2WD,Gasoline,station wagon,7,52,49,50,10,Elite,low,medium,high,high,high,high,high
KIA Niro Touring,1.6,4.0,AutoMan-6,2WD,Gasoline,station wagon,7,46,40,43,9,Yes,low,medium,high,high,high,high,high
KIA Optima,1.6,4.0,AutoMan-7,2WD,Gasoline,large car,5,27,37,31,7,Yes,low,medium,mod_high,high,high,high,high
KIA Optima,2.0,4.0,SemiAuto-6,2WD,Gasoline,large car,5,21,30,24,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
KIA Optima,2.4,4.0,SemiAuto-6,2WD,Gasoline,large car,7,24,32,27,6,No,medium,medium,high,mod_high,mod_high,mod_high,mod_high
KIA Optima,2.4,4.0,SemiAuto-6,2WD,Gasoline,large car,5,24,32,27,6,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
KIA Optima FE,2.4,4.0,SemiAuto-6,2WD,Gasoline,large car,7,25,35,29,6,No,medium,medium,high,high,high,high,mod_high
KIA Optima FE,2.4,4.0,SemiAuto-6,2WD,Gasoline,large car,5,25,35,29,6,No,medium,medium,mod_high,high,high,high,mod_high
KIA Optima Hybrid,2.0,4.0,AutoMan-6,2WD,Gasoline,midsize car,7,40,45,42,9,Yes,medium,medium,high,high,high,high,high
KIA Rio,1.6,4.0,CVT,2WD,Gasoline,small car,3,33,41,36,8,No,low,medium,medium,high,high,high,high
KIA Sedona,3.3,6.0,SemiAuto-8,2WD,Gasoline,minivan,5,18,24,21,4,No,mod_high,mod_high,mod_high,medium,medium,medium,medium
KIA Sorento,2.4,4.0,SemiAuto-6,2WD,Gasoline,small SUV,5,22,29,25,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
KIA Sorento,2.4,4.0,SemiAuto-6,4WD,Gasoline,small SUV,5,21,26,23,5,No,medium,medium,mod_high,mod_high,medium,mod_high,mod_high
KIA Sorento,3.3,6.0,SemiAuto-8,2WD,Gasoline,small SUV,5,19,26,22,4,No,mod_high,mod_high,mod_high,medium,medium,medium,medium
KIA Sorento,3.3,6.0,SemiAuto-8,4WD,Gasoline,small SUV,5,18,24,20,4,No,mod_high,mod_high,mod_high,medium,medium,medium,medium
KIA Soul,1.6,4.0,AMS-7,2WD,Gasoline,station wagon,5,27,32,29,6,No,low,medium,mod_high,high,mod_high,high,mod_high
KIA Soul,2.0,4.0,CVT,2WD,Gasoline,station wagon,7,27,33,30,7,Yes,medium,medium,high,high,high,high,high
KIA Soul,2.0,4.0,Man-6,2WD,Gasoline,station wagon,5,25,31,27,6,No,medium,medium,mod_high,high,mod_high,mod_high,mod_high
KIA Soul Eco dynamics,2.0,4.0,CVT,2WD,Gasoline,station wagon,7,29,35,31,7,Yes,medium,medium,high,high,high,high,high
KIA Sportage,2.0,4.0,SemiAuto-6,2WD,Gasoline,small SUV,5,20,28,23,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
KIA Sportage,2.0,4.0,SemiAuto-6,4WD,Gasoline,small SUV,5,19,24,21,4,No,medium,medium,mod_high,medium,medium,medium,medium
KIA Sportage,2.4,4.0,SemiAuto-6,2WD,Gasoline,small SUV,7,23,30,26,5,No,medium,medium,high,mod_high,mod_high,mod_high,mod_high
KIA Sportage,2.4,4.0,SemiAuto-6,2WD,Gasoline,small SUV,5,23,30,26,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
KIA Sportage,2.4,4.0,SemiAuto-6,4WD,Gasoline,small SUV,7,22,26,23,5,No,medium,medium,high,mod_high,medium,mod_high,mod_high
KIA Sportage,2.4,4.0,SemiAuto-6,4WD,Gasoline,small SUV,5,22,26,23,5,No,medium,medium,mod_high,mod_high,medium,mod_high,mod_high
KIA Stinger,2.0,4.0,SemiAuto-8,2WD,Gasoline,midsize car,3,22,29,25,5,No,medium,medium,medium,mod_high,mod_high,mod_high,mod_high
KIA Stinger,2.0,4.0,SemiAuto-8,4WD,Gasoline,midsize car,3,21,29,24,5,No,medium,medium,medium,mod_high,mod_high,mod_high,mod_high
KIA Stinger,3.3,6.0,SemiAuto-8,2WD,Gasoline,midsize car,3,17,25,20,4,No,mod_high,mod_high,medium,medium,medium,medium,medium
KIA Stinger,3.3,6.0,SemiAuto-8,4WD,Gasoline,midsize car,3,17,25,20,4,No,mod_high,mod_high,medium,medium,medium,medium,medium
KIA Telluride,3.8,6.0,SemiAuto-8,2WD,Gasoline,small SUV,5,20,26,23,5,No,high,mod_high,mod_high,mod_high,medium,mod_high,mod_high
KIA Telluride,3.8,6.0,SemiAuto-8,4WD,Gasoline,small SUV,5,19,24,21,4,No,high,mod_high,mod_high,medium,medium,medium,medium
LAMBORGHINI Aventador Coupe,6.5,12.0,AMS-7,4WD,Gasoline,small car,1,9,15,11,1,No,high,high,low,low,low,low,low
LAMBORGHINI Aventador Roadster,6.5,12.0,AMS-7,4WD,Gasoline,small car,1,9,15,11,1,No,high,high,low,low,low,low,low
LAMBORGHINI Huracan,5.2,10.0,AMS-7,2WD,Gasoline,small car,1,13,18,15,2,No,high,high,low,low,low,low,low
LAMBORGHINI Huracan,5.2,10.0,AMS-7,4WD,Gasoline,small car,1,13,18,15,2,No,high,high,low,low,low,low,low
LAMBORGHINI Huracan Spyder,5.2,10.0,AMS-7,2WD,Gasoline,small car,1,13,18,15,2,No,high,high,low,low,low,low,low
LAMBORGHINI Huracan Spyder,5.2,10.0,AMS-7,4WD,Gasoline,small car,1,13,18,15,2,No,high,high,low,low,low,low,low
LAMBORGHINI Urus,4.0,8.0,SemiAuto-8,4WD,Gasoline,standard SUV,3,12,17,14,1,No,high,high,medium,low,low,low,low
LAND ROVER Defender 110,2.0,4.0,SemiAuto-8,4WD,Gasoline,standard SUV,7,17,20,18,3,No,medium,medium,high,medium,low,low,medium
LAND ROVER Defender 110 MHEV,3.0,6.0,SemiAuto-8,4WD,Gasoline,standard SUV,7,17,22,19,3,No,mod_high,mod_high,high,medium,low,medium,medium
LAND ROVER Defender 90,2.0,4.0,SemiAuto-8,4WD,Gasoline,standard SUV,7,18,21,19,3,No,medium,medium,high,medium,low,medium,medium
LAND ROVER Defender 90 MHEV,3.0,6.0,SemiAuto-8,4WD,Gasoline,standard SUV,7,17,22,19,3,No,mod_high,mod_high,high,medium,low,medium,medium
LAND ROVER Discovery,3.0,6.0,SemiAuto-8,4WD,Diesel,standard SUV,1,21,26,23,4,No,mod_high,mod_high,low,mod_high,medium,mod_high,medium
LAND ROVER Discovery,3.0,6.0,SemiAuto-8,4WD,Gasoline,standard SUV,7,16,21,18,3,No,mod_high,mod_high,high,low,low,low,medium
LAND ROVER Discovery Sport,2.0,4.0,SemiAuto-9,4WD,Gasoline,small SUV,7,19,24,21,4,No,medium,medium,high,medium,medium,medium,medium
LAND ROVER Discovery Sport MHEV,2.0,4.0,SemiAuto-9,4WD,Gasoline,small SUV,7,19,24,21,4,No,medium,medium,high,medium,medium,medium,medium
LAND ROVER Evoque,2.0,4.0,SemiAuto-9,4WD,Gasoline,small SUV,7,20,27,23,5,No,medium,medium,high,mod_high,mod_high,mod_high,mod_high
LAND ROVER Evoque MHEV,2.0,4.0,SemiAuto-9,4WD,Gasoline,small SUV,7,21,26,23,5,No,medium,medium,high,mod_high,medium,mod_high,mod_high
LAND ROVER Range Rover,3.0,6.0,SemiAuto-8,4WD,Diesel,standard SUV,1,22,28,24,4,No,mod_high,mod_high,low,mod_high,mod_high,mod_high,medium
LAND ROVER Range Rover,5.0,8.0,SemiAuto-8,4WD,Gasoline,standard SUV,3,16,21,18,3,No,high,high,medium,low,low,low,medium
LAND ROVER Range Rover LWB,5.0,8.0,SemiAuto-8,4WD,Gasoline,standard SUV,3,16,21,18,3,No,high,high,medium,low,low,low,medium
LAND ROVER Range Rover LWB SVA,5.0,8.0,SemiAuto-8,4WD,Gasoline,standard SUV,3,13,19,15,2,No,high,high,medium,low,low,low,low
LAND ROVER Range Rover MHEV,3.0,6.0,SemiAuto-8,4WD,Gasoline,standard SUV,7,19,24,21,4,No,mod_high,mod_high,high,medium,medium,medium,medium
LAND ROVER Range Rover SVA,5.0,8.0,SemiAuto-8,4WD,Gasoline,standard SUV,3,14,19,16,2,No,high,high,medium,low,low,low,low
LAND ROVER Range Rover Sport,3.0,6.0,SemiAuto-8,4WD,Diesel,standard SUV,1,22,28,24,4,No,mod_high,mod_high,low,mod_high,mod_high,mod_high,medium
LAND ROVER Range Rover Sport,5.0,8.0,SemiAuto-8,4WD,Gasoline,standard SUV,3,17,22,19,3,No,high,high,medium,medium,low,medium,medium
LAND ROVER Range Rover Sport SVR,5.0,8.0,SemiAuto-8,4WD,Gasoline,standard SUV,3,15,20,16,2,No,high,high,medium,low,low,low,low
LAND ROVER Range Rover Velar,2.0,4.0,SemiAuto-8,4WD,Gasoline,small SUV,7,21,27,23,5,No,medium,medium,high,mod_high,mod_high,mod_high,mod_high
LAND ROVER Range Rover Velar,3.0,6.0,SemiAuto-8,4WD,Gasoline,small SUV,7,18,24,20,4,No,mod_high,mod_high,high,medium,medium,medium,medium
LAND ROVER Range Rover Velar,5.0,8.0,SemiAuto-8,4WD,Gasoline,small SUV,3,15,20,17,3,No,high,high,medium,low,low,low,medium
LAND ROVER Range Rover Velar P300,2.0,4.0,SemiAuto-8,4WD,Gasoline,small SUV,7,20,26,22,4,No,medium,medium,high,mod_high,medium,medium,medium
LAND ROVER Range Rover Velar P380,3.0,6.0,SemiAuto-8,4WD,Gasoline,small SUV,7,18,24,20,4,No,mod_high,mod_high,high,medium,medium,medium,medium
LEXUS ES 300h,2.5,4.0,SCV-6,2WD,Gasoline,midsize car,7,43,44,44,9,Yes,medium,medium,high,high,high,high,high
LEXUS ES 350,3.5,6.0,SemiAuto-8,2WD,Gasoline,midsize car,5,22,32,26,5,No,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high
LEXUS ES 350 F Sport,3.5,6.0,SemiAuto-8,2WD,Gasoline,midsize car,5,22,31,25,5,No,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high
LEXUS GS 350,3.5,6.0,SemiAuto-6,4WD,Gasoline,midsize car,5,19,26,21,4,No,mod_high,mod_high,mod_high,medium,medium,medium,medium
LEXUS GS 350,3.5,6.0,SemiAuto-8,2WD,Gasoline,midsize car,5,20,28,23,5,No,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high
LEXUS GS 350 F Sport,3.5,6.0,SemiAuto-8,2WD,Gasoline,midsize car,5,19,27,22,4,No,mod_high,mod_high,mod_high,medium,mod_high,medium,medium
LEXUS GS F,5.0,8.0,SemiAuto-8,2WD,Gasoline,small car,5,16,24,19,3,No,high,high,mod_high,low,medium,medium,medium
LEXUS GX 460,4.6,8.0,SemiAuto-6,4WD,Gasoline,standard SUV,3,15,19,16,2,No,high,high,medium,low,low,low,low
LEXUS IS 300,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,5,21,30,24,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
LEXUS IS 300,3.5,6.0,SemiAuto-6,4WD,Gasoline,small car,5,18,24,21,4,No,mod_high,mod_high,mod_high,medium,medium,medium,medium
LEXUS IS 350,3.5,6.0,SemiAuto-6,4WD,Gasoline,small car,5,19,26,21,4,No,mod_high,mod_high,mod_high,medium,medium,medium,medium
LEXUS IS 350,3.5,6.0,SemiAuto-8,2WD,Gasoline,small car,5,20,28,23,5,No,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high
LEXUS LC 500,5.0,8.0,SemiAuto-10,2WD,Gasoline,small car,5,16,25,19,3,No,high,high,mod_high,low,medium,medium,medium
LEXUS LC 500h,3.5,6.0,SCV-10,2WD,Gasoline,small car,7,27,35,30,7,Yes,mod_high,mod_high,high,high,high,high,high
LEXUS LS 500,3.4,6.0,SemiAuto-10,2WD,Gasoline,midsize car,3,19,30,23,5,No,mod_high,mod_high,medium,medium,mod_high,mod_high,mod_high
LEXUS LS 500,3.4,6.0,SemiAuto-10,4WD,Gasoline,midsize car,3,18,27,21,4,No,mod_high,mod_high,medium,medium,mod_high,medium,medium
LEXUS LS 500h,3.5,6.0,SCV-10,2WD,Gasoline,midsize car,7,25,33,28,6,No,mod_high,mod_high,high,high,high,high,mod_high
