model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway,displ_level,cyl_level,air_pollution_score_level,city_mpg_level,hwy_mpg_level,cmb_mpg_level,greenhouse_gas_score_level
BMW M240i Coupe M Performance,3.0,6.0,SemiAuto-8,2WD,Gasoline,small car,3,22,30,25,5,No,mod_high,mod_high,medium,mod_high,mod_high,mod_high,mod_high
BMW M240i Coupe M Performance,3.0,6.0,SemiAuto-8,4WD,Gasoline,small car,3,22,30,25,5,No,mod_high,mod_high,medium,mod_high,mod_high,mod_high,mod_high
BMW M340i,3.0,6.0,SemiAuto-8,2WD,Gasoline,small car,5,22,30,25,5,No,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high
BMW M340i,3.0,6.0,SemiAuto-8,4WD,Gasoline,small car,5,22,30,25,5,No,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high
BMW M4 CS,3.0,6.0,AMS-7,2WD,Gasoline,small car,3,17,23,19,3,No,mod_high,mod_high,medium,medium,medium,medium,medium
BMW M4 Convertible,3.0,6.0,AMS-7,2WD,Gasoline,small car,3,16,22,19,3,No,mod_high,mod_high,medium,low,low,medium,medium
BMW M4 Convertible,3.0,6.0,Man-6,2WD,Gasoline,small car,3,17,25,20,4,No,mod_high,mod_high,medium,medium,medium,medium,medium
BMW M4 Convertible Competition,3.0,6.0,AMS-7,2WD,Gasoline,small car,3,16,22,19,3,No,mod_high,mod_high,medium,low,low,medium,medium
BMW M4 Convertible Competition,3.0,6.0,Man-6,2WD,Gasoline,small car,3,17,25,20,4,No,mod_high,mod_high,medium,medium,medium,medium,medium
BMW M4 Coupe,3.0,6.0,AMS-7,2WD,Gasoline,small car,3,17,23,19,3,No,mod_high,mod_high,medium,medium,medium,medium,medium
BMW M4 Coupe,3.0,6.0,Man-6,2WD,Gasoline,small car,3,18,25,20,4,No,mod_high,mod_high,medium,medium,medium,medium,medium
BMW M4 Coupe Competition,3.0,6.0,AMS-7,2WD,Gasoline,small car,3,17,23,19,3,No,mod_high,mod_high,medium,medium,medium,medium,medium
BMW M4 Coupe Competition,3.0,6.0,Man-6,2WD,Gasoline,small car,3,18,25,20,4,No,mod_high,mod_high,medium,medium,medium,medium,medium
BMW M5,4.4,8.0,SemiAuto-8,4WD,Gasoline,midsize car,3,15,21,17,3,No,high,high,medium,low,low,low,medium
BMW M5 Competition,4.4,8.0,SemiAuto-8,4WD,Gasoline,midsize car,3,15,21,17,3,No,high,high,medium,low,low,low,medium
BMW M550i,4.4,8.0,SemiAuto-8,4WD,Gasoline,midsize car,3,18,25,20,4,No,high,high,medium,medium,medium,medium,medium
BMW M760i xDrive,6.6,12.0,SemiAuto-8,4WD,Gasoline,large car,3,13,20,16,2,No,high,high,medium,low,low,low,low
BMW M8 Competition Convertible,4.4,8.0,SemiAuto-8,4WD,Gasoline,small car,3,15,21,17,3,No,high,high,medium,low,low,low,medium
BMW M8 Competition Coupe,4.4,8.0,SemiAuto-8,4WD,Gasoline,small car,3,15,21,17,3,No,high,high,medium,low,low,low,medium
BMW M8 Competition Gran Coupe,4.4,8.0,SemiAuto-8,4WD,Gasoline,midsize car,3,15,21,17,3,No,high,high,medium,low,low,low,medium
BMW M8 Convertible,4.4,8.0,SemiAuto-8,4WD,Gasoline,small car,3,15,21,17,3,No,high,high,medium,low,low,low,medium
BMW M8 Coupe,4.4,8.0,SemiAuto-8,4WD,Gasoline,small car,3,15,21,17,3,No,high,high,medium,low,low,low,medium
BMW M8 Gran Coupe,4.4,8.0,SemiAuto-8,4WD,Gasoline,midsize car,3,15,21,17,3,No,high,high,medium,low,low,low,medium
BMW M850i xDrive,4.4,8.0,SemiAuto-8,4WD,Gasoline,small car,3,18,25,20,4,No,high,high,medium,medium,medium,medium,medium
BMW M850i xDrive Convertible,4.4,8.0,SemiAuto-8,4WD,Gasoline,small car,3,17,25,20,4,No,high,high,medium,medium,medium,medium,medium
BMW M850i xDrive Gran Coupe,4.4,8.0,SemiAuto-8,4WD,Gasoline,midsize car,3,17,25,20,4,No,high,high,medium,medium,medium,medium,medium
BMW X1 sDrive28i,2.0,4.0,SemiAuto-8,2WD,Gasoline,large car,7,24,33,27,6,No,medium,medium,high,mod_high,high,mod_high,mod_high
BMW X1 xDrive28i,2.0,4.0,SemiAuto-8,4WD,Gasoline,large car,7,23,31,26,5,No,medium,medium,high,mod_high,mod_high,mod_high,mod_high
BMW X2 M35i,2.0,4.0,SemiAuto-8,4WD,Gasoline,midsize car,3,23,30,26,5,No,medium,medium,medium,mod_high,mod_high,mod_high,mod_high
BMW X2 sDrive28i,2.0,4.0,SemiAuto-8,2WD,Gasoline,midsize car,7,24,32,27,6,No,medium,medium,high,mod_high,mod_high,mod_high,mod_high
BMW X2 xDrive28i,2.0,4.0,SemiAuto-8,4WD,Gasoline,midsize car,7,24,31,27,6,No,medium,medium,high,mod_high,mod_high,mod_high,mod_high
BMW X3 M,3.0,6.0,SemiAuto-8,4WD,Gasoline,small SUV,3,14,19,16,2,No,mod_high,mod_high,medium,low,low,low,low
BMW X3 M Competition,3.0,6.0,SemiAuto-8,4WD,Gasoline,small SUV,3,14,19,16,2,No,mod_high,mod_high,medium,low,low,low,low
BMW X3 M40i,3.0,6.0,SemiAuto-8,4WD,Gasoline,small SUV,5,21,27,23,5,No,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high
BMW X3 sDrive30i,2.0,4.0,SemiAuto-8,2WD,Gasoline,small SUV,7,25,29,27,6,No,medium,medium,high,high,mod_high,mod_high,mod_high
BMW X3 xDrive30i,2.0,4.0,SemiAuto-8,4WD,Gasoline,small SUV,7,24,29,26,5,No,medium,medium,high,mod_high,mod_high,mod_high,mod_high
BMW X4 M,3.0,6.0,SemiAuto-8,4WD,Gasoline,small SUV,3,14,19,16,2,No,mod_high,mod_high,medium,low,low,low,low
BMW X4 M Competition,3.0,6.0,SemiAuto-8,4WD,Gasoline,small SUV,3,14,19,16,2,No,mod_high,mod_high,medium,low,low,low,low
BMW X4 M40i,3.0,6.0,SemiAuto-8,4WD,Gasoline,small SUV,5,21,27,23,5,No,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high
BMW X4 xDrive30i,2.0,4.0,SemiAuto-8,4WD,Gasoline,small SUV,7,23,28,25,5,No,medium,medium,high,mod_high,mod_high,mod_high,mod_high
BMW X5 M,4.4,8.0,SemiAuto-8,4WD,Gasoline,standard SUV,3,13,18,15,2,No,high,high,medium,low,low,low,low
BMW X5 M Competition,4.4,8.0,SemiAuto-8,4WD,Gasoline,standard SUV,3,13,18,15,2,No,high,high,medium,low,low,low,low
BMW X5 M50i,4.4,8.0,SemiAuto-8,4WD,Gasoline,standard SUV,3,16,22,18,3,No,high,high,medium,low,low,low,medium
BMW X5 sDrive40i,3.0,6.0,SemiAuto-8,2WD,Gasoline,standard SUV,3,21,26,23,5,No,mod_high,mod_high,medium,mod_high,medium,mod_high,mod_high
BMW X5 xDrive40i,3.0,6.0,SemiAuto-8,4WD,Gasoline,standard SUV,3,20,26,22,4,No,mod_high,mod_high,medium,mod_high,medium,medium,medium
