model,displ,cyl,trans,drive,fuel,cert_region,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway,displ_level,cyl_level,air_pollution_score_level,city_mpg_level,hwy_mpg_level,cmb_mpg_level,greenhouse_gas_score_level
BENTLEY Continental GT,6.0,12.0,SemiAuto-6,4WD,Gasoline,CA,small car,6.0,10,17,13,0.0,no,high,high,mod_high,low,low,low,low
BENTLEY Continental GTC,6.0,12.0,SemiAuto-6,4WD,Gasoline,FA,small car,6.0,10,17,12,0.0,no,high,high,mod_high,low,low,low,low
BENTLEY Continental GTC,6.0,12.0,SemiAuto-6,4WD,Gasoline,CA,small car,6.0,10,17,12,0.0,no,high,high,mod_high,low,low,low,low
BENTLEY Continental Supersports,6.0,12.0,SemiAuto-6,4WD,Gasoline,FA,small car,6.0,12,19,14,1.0,no,high,high,mod_high,low,low,low,low
BENTLEY Continental Supersports,6.0,12.0,SemiAuto-6,4WD,Gasoline,CA,small car,6.0,12,19,14,1.0,no,high,high,mod_high,low,low,low,low
BMW 128Ci Convertible,3.0,6.0,SemiAuto-6,2WD,Gasoline,CA,small car,9.0,18,27,21,5.0,no,medium,mod_high,high,mod_high,mod_high,mod_high,mod_high
BMW 128Ci Convertible,3.0,6.0,Man-6,2WD,Gasoline,CA,small car,9.0,18,28,22,6.0,yes,medium,mod_high,high,mod_high,mod_high,mod_high,mod_high
BMW 128Ci Convertible,3.0,6.0,SemiAuto-6,2WD,Gasoline,CA,small car,7.0,18,27,21,5.0,no,medium,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high
BMW 128Ci Convertible,3.0,6.0,Man-6,2WD,Gasoline,CA,small car,7.0,18,28,22,6.0,yes,medium,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high
BMW 128Ci Convertible,3.0,6.0,SemiAuto-6,2WD,Gasoline,FA,small car,6.0,18,27,21,5.0,no,medium,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high
BMW 128Ci Convertible,3.0,6.0,Man-6,2WD,Gasoline,FA,small car,6.0,18,28,22,6.0,no,medium,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high
BMW 128i,3.0,6.0,Man-6,2WD,Gasoline,CA,small car,9.0,18,28,22,6.0,yes,medium,mod_high,high,mod_high,mod_high,mod_high,mod_high
BMW 128i,3.0,6.0,SemiAuto-6,2WD,Gasoline,CA,small car,9.0,18,28,22,6.0,yes,medium,mod_high,high,mod_high,mod_high,mod_high,mod_high
BMW 128i,3.0,6.0,Man-6,2WD,Gasoline,CA,small car,7.0,18,28,22,6.0,yes,medium,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high
BMW 128i,3.0,6.0,SemiAuto-6,2WD,Gasoline,CA,small car,7.0,18,28,22,6.0,yes,medium,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high
BMW 128i,3.0,6.0,Man-6,2WD,Gasoline,FA,small car,6.0,18,28,22,6.0,no,medium,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high
BMW 128i,3.0,6.0,SemiAuto-6,2WD,Gasoline,FA,small car,6.0,18,28,22,6.0,no,medium,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high
BMW 135i,3.0,6.0,Man-6,2WD,Gasoline,FA,small car,6.0,18,25,20,5.0,no,medium,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high
BMW 135i,3.0,6.0,SemiAuto-6,2WD,Gasoline,FA,small car,6.0,18,25,20,5.0,no,medium,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high
BMW 135i,3.0,6.0,Man-6,2WD,Gasoline,CA,small car,6.0,18,25,20,5.0,no,medium,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high
BMW 135i,3.0,6.0,SemiAuto-6,2WD,Gasoline,CA,small car,6.0,18,25,20,5.0,no,medium,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high
BMW 135i Convertible,3.0,6.0,Man-6,2WD,Gasoline,FA,small car,6.0,17,26,20,5.0,no,medium,mod_high,mod_high,medium,mod_high,mod_high,mod_high
BMW 135i Convertible,3.0,6.0,SemiAuto-6,2WD,Gasoline,FA,small car,6.0,17,26,20,5.0,no,medium,mod_high,mod_high,medium,mod_high,mod_high,mod_high
BMW 135i Convertible,3.0,6.0,Man-6,2WD,Gasoline,CA,small car,6.0,17,26,20,5.0,no,medium,mod_high,mod_high,medium,mod_high,mod_high,mod_high
BMW 135i Convertible,3.0,6.0,SemiAuto-6,2WD,Gasoline,CA,small car,6.0,17,26,20,5.0,no,medium,mod_high,mod_high,medium,mod_high,mod_high,mod_high
BMW 328Ci,3.0,6.0,Man-6,4WD,Gasoline,CA,small car,9.0,17,25,20,5.0,no,medium,mod_high,high,medium,mod_high,mod_high,mod_high
BMW 328Ci,3.0,6.0,SemiAuto-6,4WD,Gasoline,CA,small car,9.0,17,25,20,5.0,no,medium,mod_high,high,medium,mod_high,mod_high,mod_high
BMW 328Ci,3.0,6.0,Man-6,2WD,Gasoline,CA,small car,9.0,18,28,22,6.0,yes,medium,mod_high,high,mod_high,mod_high,mod_high,mod_high
BMW 328Ci,3.0,6.0,SemiAuto-6,2WD,Gasoline,CA,small car,9.0,18,28,22,6.0,yes,medium,mod_high,high,mod_high,mod_high,mod_high,mod_high
BMW 328Ci,3.0,6.0,Man-6,4WD,Gasoline,CA,small car,7.0,17,25,20,5.0,no,medium,mod_high,mod_high,medium,mod_high,mod_high,mod_high
BMW 328Ci,3.0,6.0,SemiAuto-6,4WD,Gasoline,CA,small car,7.0,17,25,20,5.0,no,medium,mod_high,mod_high,medium,mod_high,mod_high,mod_high
BMW 328Ci,3.0,6.0,Man-6,2WD,Gasoline,CA,small car,7.0,18,28,22,6.0,yes,medium,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high
BMW 328Ci,3.0,6.0,SemiAuto-6,2WD,Gasoline,CA,small car,7.0,18,28,22,6.0,yes,medium,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high
BMW 328Ci,3.0,6.0,Man-6,4WD,Gasoline,FA,small car,6.0,17,25,20,5.0,no,medium,mod_high,mod_high,medium,mod_high,mod_high,mod_high
BMW 328Ci,3.0,6.0,SemiAuto-6,4WD,Gasoline,FA,small car,6.0,17,25,20,5.0,no,medium,mod_high,mod_high,medium,mod_high,mod_high,mod_high
BMW 328Ci,3.0,6.0,Man-6,2WD,Gasoline,FA,small car,6.0,18,28,22,6.0,no,medium,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high
BMW 328Ci,3.0,6.0,SemiAuto-6,2WD,Gasoline,FA,small car,6.0,18,28,22,6.0,no,medium,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high
BMW 328Ci Convertible,3.0,6.0,Man-6,2WD,Gasoline,CA,small car,9.0,17,26,20,5.0,no,medium,mod_high,high,medium,mod_high,mod_high,mod_high
BMW 328Ci Convertible,3.0,6.0,SemiAuto-6,2WD,Gasoline,CA,small car,9.0,18,27,21,5.0,no,medium,mod_high,high,mod_high,mod_high,mod_high,mod_high
BMW 328Ci Convertible,3.0,6.0,Man-6,2WD,Gasoline,CA,small car,7.0,17,26,20,5.0,no,medium,mod_high,mod_high,medium,mod_high,mod_high,mod_high
BMW 328Ci Convertible,3.0,6.0,SemiAuto-6,2WD,Gasoline,CA,small car,7.0,18,27,21,5.0,no,medium,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high
BMW 328Ci Convertible,3.0,6.0,Man-6,2WD,Gasoline,FA,small car,6.0,17,26,20,5.0,no,medium,mod_high,mod_high,medium,mod_high,mod_high,mod_high
BMW 328Ci Convertible,3.0,6.0,SemiAuto-6,2WD,Gasoline,FA,small car,6.0,18,27,21,5.0,no,medium,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high
BMW 328i,3.0,6.0,Man-6,4WD,Gasoline,CA,small car,9.0,17,25,20,5.0,no,medium,mod_high,high,medium,mod_high,mod_high,mod_high
BMW 328i,3.0,6.0,SemiAuto-6,4WD,Gasoline,CA,small car,9.0,17,25,20,5.0,no,medium,mod_high,high,medium,mod_high,mod_high,mod_high
BMW 328i,3.0,6.0,Man-6,2WD,Gasoline,CA,small car,9.0,18,28,22,6.0,yes,medium,mod_high,high,mod_high,mod_high,mod_high,mod_high
